Game,Country,Number of Users,Average Rating
6 nimmt!,Argentina,7,7.57
6 nimmt!,Australia,36,7.17
6 nimmt!,Austria,10,7.53
6 nimmt!,Belarus,2,7.5
6 nimmt!,Belgium,18,7.55
6 nimmt!,Bolivia,1,7
6 nimmt!,Brazil,32,7.28
6 nimmt!,Brunei,1,8
6 nimmt!,Bulgaria,3,5.67
6 nimmt!,Canada,98,7.21
6 nimmt!,Chile,9,7.99
6 nimmt!,China,4,7.1
6 nimmt!,Colombia,3,7.57
6 nimmt!,Croatia,1,6
6 nimmt!,Czech Republic,5,7.7
6 nimmt!,Denmark,8,6.19
6 nimmt!,England,4,7.5
6 nimmt!,Estonia,5,7.08
6 nimmt!,Finland,32,7.32
6 nimmt!,France,27,6.93
6 nimmt!,Germany,123,7.58
6 nimmt!,Greece,17,7.07
6 nimmt!,Hungary,19,7.31
6 nimmt!,Iceland,1,6
6 nimmt!,India,1,7
6 nimmt!,Ireland,4,8
6 nimmt!,Israel,5,6.8
6 nimmt!,Italy,32,7.06
6 nimmt!,Japan,40,6.99
6 nimmt!,Latvia,9,6.74
6 nimmt!,Lithuania,7,7.71
6 nimmt!,Luxembourg,1,7
6 nimmt!,Malaysia,6,8.08
6 nimmt!,Mexico,6,8
6 nimmt!,Netherlands,25,7.25
6 nimmt!,New Zealand,11,6.91
6 nimmt!,Norway,11,6.77
6 nimmt!,Philippines,1,9
6 nimmt!,Poland,47,7.43
6 nimmt!,Portugal,5,6.63
6 nimmt!,Romania,5,7.8
6 nimmt!,Russia,11,6.5
6 nimmt!,Saudi Arabia,1,7
6 nimmt!,Republic of Serbia,5,7.7
6 nimmt!,Slovakia,1,7
6 nimmt!,South Africa,3,7.33
6 nimmt!,South Korea,24,7.43
6 nimmt!,Spain,83,7.58
6 nimmt!,Sweden,17,7.01
6 nimmt!,Switzerland,8,7.75
6 nimmt!,Taiwan,20,7.44
6 nimmt!,Thailand,6,7.5
6 nimmt!,Ukraine,3,7.67
6 nimmt!,USA,463,7.14
6 nimmt!,Uruguay,1,10
6 nimmt!,Vietnam,1,6
7 Wonders,Argentina,24,8.12
7 Wonders,Australia,110,8.05
7 Wonders,Austria,14,8.5
7 Wonders,Belarus,2,8.25
7 Wonders,Belgium,58,8.33
7 Wonders,Bolivia,2,9
7 Wonders,Brazil,107,8.71
7 Wonders,Brunei,1,9
7 Wonders,Bulgaria,10,8.35
7 Wonders,Canada,362,8.31
7 Wonders,Chile,15,8.17
7 Wonders,China,28,8.23
7 Wonders,Colombia,8,8.09
7 Wonders,Costa Rica,2,7.5
7 Wonders,Croatia,5,8.04
7 Wonders,Czech Republic,13,7.65
7 Wonders,Denmark,26,7.99
7 Wonders,England,16,7.74
7 Wonders,Estonia,9,9.17
7 Wonders,Finland,42,8.44
7 Wonders,France,55,8.59
7 Wonders,Germany,212,8.41
7 Wonders,Greece,56,8.34
7 Wonders,Guatemala,1,9.5
7 Wonders,Honduras,1,8
7 Wonders,Hungary,29,8.46
7 Wonders,Iceland,4,8.13
7 Wonders,India,3,8
7 Wonders,Indonesia,8,8.63
7 Wonders,Iran,3,7.9
7 Wonders,Iraq,1,9
7 Wonders,Ireland,14,8.3
7 Wonders,Israel,15,8.03
7 Wonders,Italy,86,7.9
7 Wonders,Japan,38,7.43
7 Wonders,Latvia,12,8.4
7 Wonders,Lebanon,1,7
7 Wonders,Lithuania,16,8.05
7 Wonders,Luxembourg,2,8
7 Wonders,Macedonia,2,8.5
7 Wonders,Malaysia,9,8.33
7 Wonders,Mexico,21,8.86
7 Wonders,Moldova,2,8.75
7 Wonders,Netherlands,48,7.96
7 Wonders,New Zealand,28,7.79
7 Wonders,Norway,19,8.62
7 Wonders,Peru,4,8.63
7 Wonders,Philippines,10,8.5
7 Wonders,Poland,116,8.43
7 Wonders,Portugal,29,8.41
7 Wonders,Qatar,2,8
7 Wonders,Romania,22,8.61
7 Wonders,Russia,21,8.88
7 Wonders,Saudi Arabia,2,7.5
7 Wonders,Republic of Serbia,12,8.98
7 Wonders,Slovakia,3,8.98
7 Wonders,Slovenia,3,8.67
7 Wonders,South Africa,10,8.7
7 Wonders,South Korea,25,7.44
7 Wonders,Spain,174,8.17
7 Wonders,Sri Lanka,1,9
7 Wonders,Sweden,63,8.1
7 Wonders,Switzerland,20,8.02
7 Wonders,Taiwan,31,8.06
7 Wonders,Thailand,16,8.23
7 Wonders,Turkey,2,8.5
7 Wonders,Uganda,1,7
7 Wonders,Ukraine,18,8.17
7 Wonders,USA,2023,8.23
7 Wonders,Uruguay,3,9.03
7 Wonders,Venezuela,2,9
7 Wonders,Vietnam,3,8
7 Wonders Duel,Argentina,14,8.65
7 Wonders Duel,Australia,51,8.22
7 Wonders Duel,Austria,11,8.27
7 Wonders Duel,Belarus,2,7.5
7 Wonders Duel,Belgium,26,8.59
7 Wonders Duel,Bolivia,1,9
7 Wonders Duel,Brazil,38,8.82
7 Wonders Duel,Bulgaria,3,9.33
7 Wonders Duel,Canada,132,8.38
7 Wonders Duel,Chile,9,8.97
7 Wonders Duel,China,18,8.36
7 Wonders Duel,Colombia,3,8.17
7 Wonders Duel,Croatia,3,8
7 Wonders Duel,Czech Republic,9,9.11
7 Wonders Duel,Denmark,11,7.67
7 Wonders Duel,Ecuador,2,8.25
7 Wonders Duel,England,11,8.55
7 Wonders Duel,Estonia,3,8.83
7 Wonders Duel,Finland,11,8.05
7 Wonders Duel,France,32,8.65
7 Wonders Duel,Germany,109,8.43
7 Wonders Duel,Greece,23,8.67
7 Wonders Duel,Guatemala,1,7
7 Wonders Duel,Hungary,13,8
7 Wonders Duel,Iceland,3,9
7 Wonders Duel,India,6,8.75
7 Wonders Duel,Indonesia,4,8.75
7 Wonders Duel,Iran,2,6.5
7 Wonders Duel,Ireland,6,9.08
7 Wonders Duel,Israel,6,8.8
7 Wonders Duel,Italy,48,8.09
7 Wonders Duel,Japan,18,7.89
7 Wonders Duel,Latvia,6,8.54
7 Wonders Duel,Lebanon,1,8
7 Wonders Duel,Lithuania,7,8.64
7 Wonders Duel,Luxembourg,1,7
7 Wonders Duel,Malaysia,2,8.5
7 Wonders Duel,Mexico,9,9.08
7 Wonders Duel,Moldova,1,10
7 Wonders Duel,Netherlands,30,8.3
7 Wonders Duel,New Zealand,8,8.15
7 Wonders Duel,Norway,9,8.67
7 Wonders Duel,Paraguay,1,9
7 Wonders Duel,Philippines,4,8.75
7 Wonders Duel,Poland,65,8.86
7 Wonders Duel,Portugal,14,8.56
7 Wonders Duel,Qatar,1,7.4
7 Wonders Duel,Romania,11,8.87
7 Wonders Duel,Russia,11,8.45
7 Wonders Duel,Rwanda,1,7
7 Wonders Duel,Saudi Arabia,1,8
7 Wonders Duel,Republic of Serbia,9,9.33
7 Wonders Duel,Slovakia,4,8.43
7 Wonders Duel,Slovenia,3,9.33
7 Wonders Duel,South Africa,4,7.95
7 Wonders Duel,South Korea,17,7.85
7 Wonders Duel,Spain,119,8.48
7 Wonders Duel,Sweden,33,7.85
7 Wonders Duel,Switzerland,7,8.36
7 Wonders Duel,Taiwan,13,8.43
7 Wonders Duel,Thailand,9,8.89
7 Wonders Duel,Ukraine,11,8.59
7 Wonders Duel,USA,688,8.39
7 Wonders Duel,Uruguay,1,9
7 Wonders Duel,Venezuela,1,10
7 Wonders Duel,Vietnam,2,9.38
A Game of Thrones: The Board Game (Second Edition),Argentina,9,8.47
A Game of Thrones: The Board Game (Second Edition),Australia,43,7.3
A Game of Thrones: The Board Game (Second Edition),Austria,2,9
A Game of Thrones: The Board Game (Second Edition),Belarus,2,7.25
A Game of Thrones: The Board Game (Second Edition),Belgium,14,8.1
A Game of Thrones: The Board Game (Second Edition),Bolivia,1,8
A Game of Thrones: The Board Game (Second Edition),Brazil,51,8.61
A Game of Thrones: The Board Game (Second Edition),Bulgaria,7,8
A Game of Thrones: The Board Game (Second Edition),Canada,100,7.99
A Game of Thrones: The Board Game (Second Edition),Chile,9,8.1
A Game of Thrones: The Board Game (Second Edition),China,19,7.43
A Game of Thrones: The Board Game (Second Edition),Colombia,4,8.75
A Game of Thrones: The Board Game (Second Edition),Croatia,4,7.55
A Game of Thrones: The Board Game (Second Edition),Czech Republic,5,7.22
A Game of Thrones: The Board Game (Second Edition),Denmark,4,6.25
A Game of Thrones: The Board Game (Second Edition),Ecuador,1,9
A Game of Thrones: The Board Game (Second Edition),England,2,6
A Game of Thrones: The Board Game (Second Edition),Estonia,3,8.53
A Game of Thrones: The Board Game (Second Edition),Finland,9,8.06
A Game of Thrones: The Board Game (Second Edition),France,6,7.67
A Game of Thrones: The Board Game (Second Edition),Germany,50,8.04
A Game of Thrones: The Board Game (Second Edition),Greece,18,8.19
A Game of Thrones: The Board Game (Second Edition),Hungary,4,6.5
A Game of Thrones: The Board Game (Second Edition),Iceland,2,8.5
A Game of Thrones: The Board Game (Second Edition),India,1,10
A Game of Thrones: The Board Game (Second Edition),Indonesia,2,8.25
A Game of Thrones: The Board Game (Second Edition),Ireland,6,7.5
A Game of Thrones: The Board Game (Second Edition),Israel,5,6.71
A Game of Thrones: The Board Game (Second Edition),Italy,36,7.65
A Game of Thrones: The Board Game (Second Edition),Japan,2,4
A Game of Thrones: The Board Game (Second Edition),Latvia,6,7.8
A Game of Thrones: The Board Game (Second Edition),Lebanon,1,7
A Game of Thrones: The Board Game (Second Edition),Lithuania,9,8.33
A Game of Thrones: The Board Game (Second Edition),Macedonia,2,8.5
A Game of Thrones: The Board Game (Second Edition),Malaysia,4,9.28
A Game of Thrones: The Board Game (Second Edition),Mexico,8,6.56
A Game of Thrones: The Board Game (Second Edition),Moldova,1,9
A Game of Thrones: The Board Game (Second Edition),Netherlands,9,8.27
A Game of Thrones: The Board Game (Second Edition),New Zealand,8,7.6
A Game of Thrones: The Board Game (Second Edition),Norway,5,7.58
A Game of Thrones: The Board Game (Second Edition),Paraguay,1,8
A Game of Thrones: The Board Game (Second Edition),Peru,3,9
A Game of Thrones: The Board Game (Second Edition),Philippines,3,9.67
A Game of Thrones: The Board Game (Second Edition),Poland,64,8.21
A Game of Thrones: The Board Game (Second Edition),Portugal,12,8.59
A Game of Thrones: The Board Game (Second Edition),Qatar,1,7.6
A Game of Thrones: The Board Game (Second Edition),Romania,8,7.87
A Game of Thrones: The Board Game (Second Edition),Russia,14,8
A Game of Thrones: The Board Game (Second Edition),Republic of Serbia,6,8.33
A Game of Thrones: The Board Game (Second Edition),Slovakia,2,8
A Game of Thrones: The Board Game (Second Edition),Slovenia,1,10
A Game of Thrones: The Board Game (Second Edition),South Africa,5,7.2
A Game of Thrones: The Board Game (Second Edition),South Korea,7,7
A Game of Thrones: The Board Game (Second Edition),Spain,81,8.23
A Game of Thrones: The Board Game (Second Edition),Sweden,21,7.9
A Game of Thrones: The Board Game (Second Edition),Switzerland,4,8.38
A Game of Thrones: The Board Game (Second Edition),Taiwan,9,7.18
A Game of Thrones: The Board Game (Second Edition),Thailand,6,8
A Game of Thrones: The Board Game (Second Edition),Turkey,1,8.5
A Game of Thrones: The Board Game (Second Edition),Uganda,1,8.5
A Game of Thrones: The Board Game (Second Edition),Ukraine,4,8.93
A Game of Thrones: The Board Game (Second Edition),USA,430,7.82
A Game of Thrones: The Board Game (Second Edition),Uruguay,2,9.25
A Game of Thrones: The Board Game (Second Edition),Venezuela,1,7
A Game of Thrones: The Board Game (Second Edition),Vietnam,3,6
Acquire,Australia,42,7.17
Acquire,Austria,10,7.8
Acquire,Belgium,16,7.9
Acquire,Brazil,19,8.15
Acquire,Bulgaria,2,8.5
Acquire,Canada,139,7.69
Acquire,Chile,5,8.06
Acquire,China,16,7.91
Acquire,Colombia,4,9
Acquire,Croatia,2,7
Acquire,Czech Republic,1,5
Acquire,Denmark,12,7.29
Acquire,Ecuador,1,10
Acquire,England,6,8
Acquire,Estonia,1,10
Acquire,Finland,11,7.68
Acquire,France,7,6.63
Acquire,Germany,80,7.48
Acquire,Greece,12,7.42
Acquire,Guatemala,1,10
Acquire,Hungary,2,8.1
Acquire,Iceland,1,8
Acquire,India,3,8.67
Acquire,Indonesia,2,7.6
Acquire,Ireland,4,7.38
Acquire,Israel,4,7.75
Acquire,Italy,28,7.37
Acquire,Japan,30,7.83
Acquire,Latvia,3,7.67
Acquire,Lithuania,2,7.5
Acquire,Malaysia,7,7.64
Acquire,Mexico,6,8.17
Acquire,Moldova,1,10
Acquire,Netherlands,22,7.81
Acquire,New Zealand,11,7.18
Acquire,Norway,13,7.5
Acquire,Panama,1,8
Acquire,Philippines,4,7.75
Acquire,Poland,11,7.37
Acquire,Portugal,6,6.92
Acquire,Romania,4,8.88
Acquire,Russia,2,6.5
Acquire,Saudi Arabia,1,8
Acquire,Republic of Serbia,2,7.5
Acquire,Slovenia,3,7.67
Acquire,South Africa,2,7
Acquire,South Korea,37,8.14
Acquire,Spain,38,7.63
Acquire,Sweden,20,7.56
Acquire,Switzerland,5,6.6
Acquire,Taiwan,11,7.32
Acquire,Thailand,8,8.19
Acquire,Ukraine,1,6
Acquire,USA,1254,7.83
Acquire,Venezuela,3,7.67
Agricola,Argentina,22,8.91
Agricola,Australia,98,8.17
Agricola,Austria,23,9.34
Agricola,Belarus,1,5
Agricola,Belgium,67,8.4
Agricola,Bolivia,1,9
Agricola,Brazil,93,8.86
Agricola,Bulgaria,3,8.67
Agricola,Canada,373,8.4
Agricola,Chile,15,8.79
Agricola,China,32,8.4
Agricola,Colombia,7,8.77
Agricola,Croatia,5,9.12
Agricola,Cyprus,1,8
Agricola,Czech Republic,27,8.5
Agricola,Denmark,28,8.8
Agricola,Ecuador,1,10
Agricola,England,23,8.61
Agricola,Estonia,11,8.2
Agricola,Finland,39,8.91
Agricola,France,45,8.67
Agricola,Germany,231,8.74
Agricola,Greece,43,8.75
Agricola,Guatemala,1,9
Agricola,Honduras,1,8.5
Agricola,Hungary,18,8.56
Agricola,Iceland,3,8.83
Agricola,India,3,8.33
Agricola,Indonesia,8,8.4
Agricola,Iran,1,8
Agricola,Ireland,11,8.64
Agricola,Israel,15,8.08
Agricola,Italy,77,8.34
Agricola,Japan,32,7.97
Agricola,Latvia,5,9
Agricola,Lithuania,13,8.88
Agricola,Luxembourg,3,9
Agricola,Malaysia,11,7.9
Agricola,Mexico,14,9.31
Agricola,Mongolia,1,10
Agricola,Netherlands,75,8.37
Agricola,New Zealand,27,7.99
Agricola,Norway,20,8.91
Agricola,Panama,1,9.5
Agricola,Peru,6,7.83
Agricola,Philippines,8,8
Agricola,Poland,140,8.42
Agricola,Portugal,17,8.03
Agricola,Qatar,1,7.2
Agricola,Romania,18,8.39
Agricola,Russia,20,8.28
Agricola,Republic of Serbia,7,8.89
Agricola,Slovakia,4,6.78
Agricola,Slovenia,4,9
Agricola,South Africa,7,8
Agricola,South Korea,37,8.24
Agricola,Spain,233,8.55
Agricola,Sweden,65,7.86
Agricola,Switzerland,19,8.53
Agricola,Taiwan,37,8.94
Agricola,Thailand,12,8.71
Agricola,Trinidad and Tobago,1,9
Agricola,Ukraine,8,7.61
Agricola,USA,1902,8.28
Agricola,Uruguay,1,9.5
Agricola,Venezuela,2,7.5
Agricola,Vietnam,4,8.88
Alhambra,Argentina,20,7.76
Alhambra,Australia,82,7.4
